Quarter,Revenue ,US.GDP
Q1-2005,1902,12761.34
Q2-2005,1753,12910.02
Q3-2005,1858,13142.87
Q4-2005,2977,13332.32
Q1-2006,2279,13603.93
Q2-2006,2139,13749.81
Q3-2006,2307,13867.47
Q4-2006,3986,14037.23
Q1-2007,3015,14208.57
Q2-2007,2886,14382.36
Q3-2007,3262,14535
Q4-2007,5672,14681.5
Q1-2008,4135,14651.04
Q2-2008,4063,14805.61
Q3-2008,4264,14835.19
Q4-2008,6704,14559.54
Q1-2009,4889,14394.55
Q2-2009,4651,14352.85
Q3-2009,5449,14420.31
Q4-2009,9520,14628.02
Q1-2010,7131,14721.35
Q2-2010,6566,14926.1
Q3-2010,7560,15079.92
Q4-2010,12947,15240.84
Q1-2011,9857,15285.83
Q2-2011,9913,15496.19
Q3-2011,10876,15591.85
Q4-2011,17431,15796.46
Q1-2012,13185,16019.76
Q2-2012,12834,16152.26
Q3-2012,13806,16257.15
Q4-2012,21268,16358.86
Q1-2013,16070,16569.59
Q2-2013,15704,16637.93
Q3-2013,17092,16848.75
Q4-2013,25586,17083.14
Q1-2014,19741,17104.56
Q2-2014,19340,17432.91
Q3-2014,20579,17721.66
Q4-2014,29328,17849.91
Q1-2015,22717,18003.4
Q2-2015,23185,18223.58
Q3-2015,25358,18347.43
Q4-2015,35746,18378.8
Q1-2016,29128,18470.16
Q2-2016,30404,18656.21
Q3-2016,32714,18821.36
Q4-2016,43741,19032.58
Q1-2017,35714,19237.44
Q2-2017,37955,19379.23
Q3-2017,43744,19617.29
Q4-2017,60453,19937.96
Q1-2018,51042,20242.22
Q2-2018,52886,20552.65
Q3-2018,56576,20742.72
Q4-2018,72383,20909.85
Q1-2019,59700,21115.31
Q2-2019,63404,21329.88
Q3-2019,69981,21540.33
Q4-2019,87437,21747.39
Q1-2020,75452,21561.14
Q2-2020,88912,19520.11
Q3-2020,96145,21157.64
